ID,Xshape,Yshape,File_Extension
462,300,445,jpg
463,300,203,jpg
464,300,372,jpg
465,300,452,jpg
466,300,217,jpg
467,300,425,jpg
468,300,300,jpg
469,300,185,jpg
470,300,225,jpg
471,300,400,jpg
472,300,451,jpg
473,300,225,jpg
474,300,199,jpg
475,300,197,jpg
476,300,191,jpg
477,300,450,jpg
478,300,367,jpg
479,300,486,jpg
480,300,199,jpg
481,300,200,jpg
482,300,199,jpg
483,300,451,jpg
484,300,316,jpg
485,300,400,jpg
486,300,196,jpg
487,300,400,jpg
488,300,502,jpg
489,300,482,jpg
490,300,225,jpg
491,300,225,jpg
492,300,463,jpg
493,300,200,jpg
494,300,451,jpg
495,300,450,jpg
496,300,453,jpg
497,300,264,jpg
498,300,450,jpg
499,300,199,jpg
500,300,453,jpg
501,300,520,jpg
502,300,199,jpg
503,300,451,jpg
504,300,451,jpg
505,300,199,jpg
506,300,476,jpg
507,300,955,jpg
508,300,534,jpg
509,300,225,jpg
510,300,423,jpg
511,300,199,jpg
512,300,450,jpg
513,300,450,jpg
514,300,225,jpg
515,300,199,jpg
516,300,448,jpg
517,300,448,jpg
518,300,380,jpg
519,300,450,jpg
520,300,278,jpg
521,300,214,jpg
522,300,199,jpg
523,300,417,jpg
524,300,450,jpg
525,300,200,jpg
526,300,300,jpg
527,300,548,jpg
528,300,411,jpg
529,300,400,jpg
530,300,451,jpg
531,300,199,jpg
532,300,200,jpg
533,300,404,jpg
534,300,450,jpg
535,300,225,jpg
536,300,450,jpg
537,300,451,jpg
538,300,225,jpg
539,300,450,jpg
540,300,199,jpg
541,300,521,jpg
542,300,199,jpg
543,300,451,jpg
544,300,200,jpg
545,300,199,jpg
546,300,253,jpg
547,300,400,jpg
548,300,448,jpg
549,300,424,jpg
550,300,450,jpg
551,300,199,jpg
552,300,400,jpg
553,300,449,jpg
554,300,450,jpg
555,300,200,jpg
556,300,420,jpg
557,300,400,jpg
558,300,408,jpg
559,300,392,jpg
560,300,450,jpg
561,300,291,jpg
562,300,492,jpg
563,300,534,jpg
564,300,344,jpg
565,300,509,jpg
566,300,450,jpg
567,300,451,jpg
568,300,530,jpg
569,300,377,jpg
570,300,412,jpg
571,300,468,jpg
572,300,459,jpg
573,300,249,jpg
574,300,484,jpg
575,300,199,jpg
576,300,225,jpg
577,300,199,jpg
578,300,300,jpg
579,300,200,jpg
580,300,400,jpg
581,300,486,jpg
582,300,467,jpg
583,300,200,jpg
584,300,199,jpg
585,300,363,jpg
586,300,225,jpg
587,300,451,jpg
588,300,460,jpg
589,300,488,jpg
590,300,450,jpg
591,300,200,jpg
592,300,451,jpg
593,300,448,jpg
594,300,225,jpg
595,300,451,jpg
596,300,451,jpg
597,300,451,jpg
598,300,168,jpg
599,300,300,jpg
600,300,451,jpg
601,300,533,jpg
